Age,Taxa,Continent,Lat,Long
8955,Homo sapiens,North America,37.62613636591383,-109.8047757979883
8957,Homo sapiens,North America,37.62613636591383,-109.8047757979883
8236,Homo sapiens,North America,37.62613636591383,-109.8047757979883
8254,Homo sapiens,North America,37.62613636591383,-109.8047757979883
7939,Homo sapiens (opuntia fiber),North America,37.62613636591383,-109.8047757979883
7691,Homo sapiens,North America,37.62613636591383,-109.8047757979883
430,Bison,North America,48.705013611904945,-112.99468952260627
359,Bison,North America,48.705013611904945,-112.99468952260627
337,Bison bone,North America,48.705013611904945,-112.99468952260627
358,Bison,North America,48.705013611904945,-112.99468952260627
420,Bison bone,North America,48.705013611904945,-112.99468952260627
264,Bison bone,North America,48.705013611904945,-112.99468952260627
364,Bison bone,North America,48.705013611904945,-112.99468952260627
9696,Bison,North America,45.580384315336744,-103.49587210430926
6904,bison,North America,45.46135448139846,-92.44136188783396
6909,bison,North America,45.46135448139846,-92.44136188783396
6912,bison,North America,45.46135448139846,-92.44136188783396
6151,bison,North America,45.46135448139846,-92.44136188783396
10328,collagen Bison antiquus,North America,38.666738161992456,-107.0319357890355
2225,Homo sapiens coprolite with hookworm,North America,42.793487588994964,-120.38751407581609
2230,Homo sapiens coprolite with hookworm,North America,42.793487588994964,-120.38751407581609
2425,Homo sapiens coprolite with hookworm,North America,42.793487588994964,-120.38751407581609
2124,Homo sapiens coprolite with hookworm,North America,42.793487588994964,-120.38751407581609
165,Bison,North America,40.666387226813676,-105.46124635795398
290,Bison,North America,40.666387226813676,-105.46124635795398
205,bison,North America,38.482199623386144,-100.90691975915335
340,bison,North America,38.482199623386144,-100.90691975915335
270,bison,North America,38.482199623386144,-100.90691975915335
285,bison,North America,38.482199623386144,-100.90691975915335
290,bison,North America,38.482199623386144,-100.90691975915335
290,bison,North America,38.482199623386144,-100.90691975915335
295,bison,North America,38.482199623386144,-100.90691975915335
95,bison,North America,38.482199623386144,-100.90691975915335
125,bison,North America,38.482199623386144,-100.90691975915335
120,bison,North America,38.482199623386144,-100.90691975915335
190,Bison,North America,40.666387226813676,-105.46124635795398
210,Bison,North America,40.666387226813676,-105.46124635795398
185,Bison,North America,40.666387226813676,-105.46124635795398
410,Bison collagen,North America,39.979876864876594,-108.2174666148334
1060,Bison,North America,39.979876864876594,-108.2174666148334
1090,Bison,North America,39.979876864876594,-108.2174666148334
1190,Bison sp. unburned 1N10E NE,North America,47.880682090483674,-110.43517534420852
2690,Bison Metatarsal collagen,North America,40.666387226813676,-105.46124635795398
2160,bison unburned collagen,North America,46.49672542005426,-108.39817682266332
6130,Bison sp. bone is a proximal tibia fragment exhibiting green bone spiral fractures collagen,North America,47.124348080513194,-120.67982868566651
820,Bison sp.,North America,45.13289368212921,-112.89918180344539
100,bison calcaneus,North America,45.586081888624015,-95.44451581648306
760,Mammoth bone collagen,North America,35.89386022336408,-86.89864113605093
140,Organic Coprolite Homo sapiens,North America,38.91222507104682,-119.61658158428688
5680,bison occipital collagen,North America,47.77384123416757,-96.40167818981361
5450,bison radius collagen,North America,47.77384123416757,-96.40167818981361
7010,bison scapula with cut marks collagen,North America,47.77384123416757,-96.40167818981361
3220,large mammal long bone frag cf. Bison collagen,North America,47.77384123416757,-96.40167818981361
3170,bison 2nd phalange collagen,North America,47.77384123416757,-96.40167818981361
160,Bison,North America,31.037658717037793,-97.47843252931852
10390,cf. Bison sp.,North America,46.14838217500926,-112.0937216658235
4950,bison,North America,35.84003182909864,-101.35476640665509
850,collagen bison rib,North America,44.24119981904127,-114.28176334301202
1660,Homo sapiens,North America,37.62613636591383,-109.8047757979883
1640,Homo sapiens,North America,37.62613636591383,-109.8047757979883
290,Bison,North America,32.30613223199503,-101.95120612446769
