entity,medgen_cui,omim_mim,genes,n_genes,inheritance_class,mechanism_class,organ_system_hint,in_scope,exclusion_reason,provenance
Genetic hearing loss,C0236038,,ACTG1;CCDC50;CDH23;CLDN14;COCH;COL11A2;DIAPH1;ESPN;ESRRB;EYA4;FOXI1;GJB2;GJB3;GJB6;GRHL2;GSDME;HGF;KCNQ4;LHFPL5;LOXHD1;LRTOMT;MARVELD2;MIR96;MT-CO1;MT-RNR1;MT-TS1;MYH14;MYH9;MYO15A;MYO1A;MYO3A;MYO6;MYO7A;OTOA;OTOF;PCDH15;PJVK;POU3F4;POU4F3;PRPS1;RDX;SIX1;SLC17A8;SLC26A4;SMPX;STRC;TECTA;TMC1;TMIE;TMPRSS3;TRIOBP;USH1C;WFS1;WHRN,54,PENDING_R2,PENDING_R2,ear,true,,clinvar:gene_condition_source_id:2026-06-17
Genitopatellar syndrome,C1853566,606170,KAT6B,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Gentamicin response,CN184225,,TRMU,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Germ cell tumor of testis,C1336708,273300,BCL10;FGFR3;KIT;STK11,4,PENDING_R2,PENDING_R2,cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Geroderma osteodysplastica,C0432255,231070,GORAB,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Gerstmann-Straussler-Scheinker syndrome,C0017495,137440,PRNP,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Ghosal hematodiaphyseal dysplasia,C1856465,231095,TBXAS1,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
GIL BLOOD GROUP,C1843889,607457,AQP3,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Gilbert syndrome,C0017551,143500,UGT1A1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Gillespie syndrome,C0431401,206700,ITPR1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
